PITNum,Release_Date,Date _of_Detect,Days_to_Detect,Water_Year,Release_Group ,Ordinal_Day_From_Release,Release_ID
900226000081486,3/19/2013,4/3/2013,15,13,1,78,13.1
900226000081487,3/19/2013,4/11/2013,23,13,1,78,13.1
900226000081488,3/19/2013,4/14/2013,26,13,1,78,13.1
900226000081489,3/19/2013,4/22/2013,34,13,1,78,13.1
900226000081490,3/19/2013,4/24/2013,36,13,1,78,13.1
900226000081493,3/19/2013,3/21/2013,2,13,1,78,13.1
900226000081494,3/19/2013,5/3/2013,45,13,1,78,13.1
900226000081495,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081496,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081497,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081499,3/19/2013,3/22/2013,3,13,1,78,13.1
900226000081500,3/19/2013,4/20/2013,32,13,1,78,13.1
900226000081502,3/19/2013,4/3/2013,15,13,1,78,13.1
900226000081503,3/19/2013,3/31/2013,12,13,1,78,13.1
900226000081504,3/19/2013,3/31/2013,12,13,1,78,13.1
900226000081505,3/19/2013,4/5/2013,17,13,1,78,13.1
900226000081506,3/19/2013,4/5/2013,17,13,1,78,13.1
900226000081507,3/19/2013,5/3/2013,45,13,1,78,13.1
900226000081508,3/19/2013,5/2/2013,44,13,1,78,13.1
900226000081509,3/19/2013,4/7/2013,19,13,1,78,13.1
900226000082282,4/2/2013,4/7/2013,5,13,3,92,13.3
900226000082284,4/2/2013,4/12/2013,10,13,3,92,13.3
900226000082288,4/2/2013,4/5/2013,3,13,3,92,13.3
900226000082290,4/2/2013,4/12/2013,10,13,3,92,13.3
900226000082291,4/2/2013,4/5/2013,3,13,3,92,13.3
900226000082292,4/2/2013,4/5/2013,3,13,3,92,13.3
900226000082294,4/2/2013,4/27/2013,25,13,3,92,13.3
900226000082295,4/2/2013,4/4/2013,2,13,3,92,13.3
900226000082297,3/26/2013,4/27/2013,32,13,2,85,13.2
900226000082298,4/2/2013,4/5/2013,3,13,3,92,13.3
900226000082300,4/2/2013,4/12/2013,10,13,3,92,13.3
900226000082301,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000082302,4/2/2013,5/9/2013,37,13,3,92,13.3
900226000082307,4/2/2013,4/5/2013,3,13,3,92,13.3
900226000082308,4/2/2013,4/4/2013,2,13,3,92,13.3
900226000082310,4/2/2013,4/6/2013,4,13,3,92,13.3
900226000082311,4/2/2013,4/2/2013,0,13,3,92,13.3
900226000082312,4/2/2013,4/26/2013,24,13,3,92,13.3
900226000082313,3/26/2013,4/6/2013,11,13,2,85,13.2
900226000082314,4/2/2013,4/8/2013,6,13,3,92,13.3
900226000082316,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000082317,4/2/2013,4/3/2013,1,13,3,92,13.3
900226000082318,4/2/2013,4/22/2013,20,13,3,92,13.3
900226000082319,3/26/2013,4/19/2013,24,13,2,85,13.2
900226000082320,4/2/2013,4/4/2013,2,13,3,92,13.3
900226000082321,4/2/2013,4/4/2013,2,13,3,92,13.3
900226000082323,4/2/2013,5/4/2013,32,13,3,92,13.3
900226000082325,4/2/2013,4/12/2013,10,13,3,92,13.3
900226000082326,3/26/2013,4/29/2013,34,13,2,85,13.2
900226000082327,3/26/2013,4/6/2013,11,13,2,85,13.2
900226000082328,4/2/2013,4/4/2013,2,13,3,92,13.3
900226000082330,4/2/2013,4/16/2013,14,13,3,92,13.3
900226000082331,4/2/2013,4/5/2013,3,13,3,92,13.3
900226000082332,4/2/2013,5/2/2013,30,13,3,92,13.3
900226000081511,3/19/2013,4/24/2013,36,13,1,78,13.1
900226000081512,3/19/2013,3/22/2013,3,13,1,78,13.1
900226000081513,3/19/2013,5/18/2013,60,13,1,78,13.1
900226000081514,3/19/2013,4/4/2013,16,13,1,78,13.1
900226000081515,3/19/2013,3/21/2013,2,13,1,78,13.1
900226000081516,3/19/2013,4/12/2013,24,13,1,78,13.1
900226000081517,3/19/2013,5/5/2013,47,13,1,78,13.1
900226000081518,3/19/2013,3/29/2013,10,13,1,78,13.1
900226000081519,3/19/2013,3/29/2013,10,13,1,78,13.1
900226000081520,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081521,3/19/2013,3/31/2013,12,13,1,78,13.1
900226000081523,3/19/2013,3/21/2013,2,13,1,78,13.1
900226000081524,3/19/2013,4/11/2013,23,13,1,78,13.1
900226000081525,3/19/2013,4/6/2013,18,13,1,78,13.1
900226000081526,3/19/2013,4/6/2013,18,13,1,78,13.1
900226000081528,3/19/2013,4/10/2013,22,13,1,78,13.1
900226000081529,3/19/2013,4/19/2013,31,13,1,78,13.1
900226000081530,3/19/2013,4/24/2013,36,13,1,78,13.1
900226000081531,3/19/2013,5/5/2013,47,13,1,78,13.1
900226000081532,3/19/2013,4/19/2013,31,13,1,78,13.1
900226000081533,3/19/2013,4/4/2013,16,13,1,78,13.1
900226000081534,3/19/2013,4/10/2013,22,13,1,78,13.1
900226000081537,3/19/2013,4/27/2013,39,13,1,78,13.1
900226000081538,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081539,3/19/2013,3/20/2013,1,13,1,78,13.1
900226000081540,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081542,3/19/2013,4/11/2013,23,13,1,78,13.1
900226000081543,3/19/2013,3/27/2014,373,13,1,78,13.1
900226000081544,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081545,3/19/2013,4/4/2014,381,13,1,78,13.1
900226000081546,3/19/2013,5/5/2013,47,13,1,78,13.1
900226000081547,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081550,3/26/2013,4/5/2013,10,13,2,85,13.2
900226000081551,3/26/2013,4/8/2013,13,13,2,85,13.2
900226000081552,3/26/2013,4/21/2013,26,13,2,85,13.2
900226000081553,3/26/2013,3/29/2013,3,13,2,85,13.2
900226000081556,3/26/2013,4/27/2013,32,13,2,85,13.2
900226000081558,3/26/2013,4/7/2013,12,13,2,85,13.2
900226000081559,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000081560,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000081561,3/26/2013,4/22/2013,27,13,2,85,13.2
900226000081562,3/26/2013,4/8/2013,13,13,2,85,13.2
900226000081563,3/26/2013,4/7/2013,12,13,2,85,13.2
900226000081564,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000081566,3/26/2013,4/5/2013,10,13,2,85,13.2
900226000081568,3/26/2013,4/14/2013,19,13,2,85,13.2
900226000081569,3/26/2013,4/10/2013,15,13,2,85,13.2
900226000081570,3/26/2013,4/30/2014,400,13,2,85,13.2
900226000081571,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000081572,3/26/2013,3/28/2013,2,13,2,85,13.2
900226000081573,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000081575,3/26/2013,3/30/2013,4,13,2,85,13.2
900226000081576,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000081577,3/26/2013,4/10/2013,15,13,2,85,13.2
900226000081578,3/26/2013,3/31/2013,5,13,2,85,13.2
900226000081579,3/26/2013,4/27/2014,397,13,2,85,13.2
900226000081580,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000081582,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000081584,3/26/2013,3/31/2013,5,13,2,85,13.2
900226000081585,3/26/2013,4/4/2013,9,13,2,85,13.2
900226000081587,3/26/2013,4/11/2013,16,13,2,85,13.2
900226000081588,3/26/2013,4/4/2013,9,13,2,85,13.2
900226000081589,3/26/2013,4/3/2013,8,13,2,85,13.2
900226000081590,3/26/2013,3/28/2013,2,13,2,85,13.2
900226000081591,3/26/2013,3/31/2013,5,13,2,85,13.2
900226000081593,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000081595,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000081597,3/26/2013,4/19/2013,24,13,2,85,13.2
900226000081598,3/26/2013,4/18/2013,23,13,2,85,13.2
900226000081599,3/26/2013,5/2/2013,37,13,2,85,13.2
900226000081600,3/26/2013,6/1/2013,67,13,2,85,13.2
900226000081601,3/26/2013,3/31/2013,5,13,2,85,13.2
900226000081602,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000081603,3/26/2013,3/30/2013,4,13,2,85,13.2
900226000081604,3/26/2013,4/7/2013,12,13,2,85,13.2
900226000081605,3/26/2013,3/28/2013,2,13,2,85,13.2
900226000081607,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000081608,3/26/2013,4/18/2013,23,13,2,85,13.2
900226000081609,3/26/2013,4/5/2013,10,13,2,85,13.2
900226000081610,3/26/2013,5/4/2013,39,13,2,85,13.2
900226000081611,3/26/2013,3/28/2013,2,13,2,85,13.2
900226000081612,3/26/2013,4/27/2013,32,13,2,85,13.2
900226000081613,3/26/2013,3/31/2013,5,13,2,85,13.2
900226000081615,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000081616,3/26/2013,4/27/2013,32,13,2,85,13.2
900226000081617,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000081618,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000081619,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000081620,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000081621,3/26/2013,4/8/2014,378,13,2,85,13.2
900226000081622,3/26/2013,3/31/2013,5,13,2,85,13.2
900226000081624,3/26/2013,4/18/2013,23,13,2,85,13.2
900226000081625,3/26/2013,4/18/2013,23,13,2,85,13.2
900226000081626,3/26/2013,3/28/2013,2,13,2,85,13.2
900226000081628,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000081630,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000081631,3/26/2013,4/14/2013,19,13,2,85,13.2
900226000081632,3/26/2013,4/11/2013,16,13,2,85,13.2
900226000081633,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000081634,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000081635,3/26/2013,4/3/2013,8,13,2,85,13.2
900226000081636,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000081637,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000081639,3/26/2013,4/7/2013,12,13,2,85,13.2
900226000081640,3/26/2013,4/26/2013,31,13,2,85,13.2
900226000081641,3/26/2013,5/2/2013,37,13,2,85,13.2
900226000081642,3/26/2013,4/4/2013,9,13,2,85,13.2
900226000081643,3/26/2013,4/6/2013,11,13,2,85,13.2
900226000081644,3/26/2013,4/8/2013,13,13,2,85,13.2
900226000081645,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000081646,3/26/2013,4/6/2013,11,13,2,85,13.2
900226000081647,3/26/2013,3/28/2013,2,13,2,85,13.2
900226000081648,3/19/2013,4/27/2013,39,13,1,78,13.1
900226000081650,3/19/2013,4/16/2014,393,13,1,78,13.1
900226000081651,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081653,3/19/2013,3/29/2013,10,13,1,78,13.1
900226000081654,3/19/2013,3/31/2013,12,13,1,78,13.1
900226000081655,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081656,3/19/2013,4/9/2013,21,13,1,78,13.1
900226000081658,3/19/2013,4/11/2013,23,13,1,78,13.1
900226000081659,3/19/2013,3/31/2013,12,13,1,78,13.1
900226000081662,3/19/2013,4/26/2013,38,13,1,78,13.1
900226000081663,3/19/2013,4/13/2013,25,13,1,78,13.1
900226000081664,3/19/2013,4/3/2013,15,13,1,78,13.1
900226000081665,3/19/2013,4/13/2013,25,13,1,78,13.1
900226000081666,3/19/2013,3/21/2013,2,13,1,78,13.1
900226000081667,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081668,3/19/2013,4/25/2013,37,13,1,78,13.1
900226000081669,3/19/2013,4/28/2013,40,13,1,78,13.1
900226000081670,3/19/2013,4/3/2013,15,13,1,78,13.1
900226000081673,3/19/2013,4/10/2013,22,13,1,78,13.1
900226000081674,3/19/2013,5/5/2013,47,13,1,78,13.1
900226000081676,3/19/2013,4/20/2013,32,13,1,78,13.1
900226000081678,4/25/2013,5/8/2013,13,13,6,115,13.6
900226000081679,3/19/2013,4/17/2013,29,13,1,78,13.1
900226000081680,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081681,3/19/2013,5/2/2013,44,13,1,78,13.1
900226000081682,3/19/2013,4/24/2013,36,13,1,78,13.1
900226000081684,3/19/2013,4/10/2013,22,13,1,78,13.1
900226000081686,3/19/2013,4/5/2013,17,13,1,78,13.1
900226000081687,3/19/2013,3/21/2013,2,13,1,78,13.1
900226000081689,3/19/2013,3/20/2013,1,13,1,78,13.1
900226000081690,3/19/2013,3/23/2013,4,13,1,78,13.1
900226000081692,3/19/2013,4/26/2013,38,13,1,78,13.1
900226000081694,3/19/2013,3/21/2013,2,13,1,78,13.1
900226000081696,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081697,3/19/2013,4/12/2013,24,13,1,78,13.1
900226000081698,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081699,3/19/2013,4/5/2013,17,13,1,78,13.1
900226000081700,3/19/2013,4/5/2013,17,13,1,78,13.1
900226000081702,3/19/2013,4/3/2013,15,13,1,78,13.1
900226000081704,3/19/2013,4/27/2013,39,13,1,78,13.1
900226000081705,3/19/2013,4/8/2013,20,13,1,78,13.1
900226000081706,3/19/2013,4/13/2013,25,13,1,78,13.1
900226000081707,3/19/2013,4/19/2013,31,13,1,78,13.1
900226000081708,3/19/2013,3/20/2013,1,13,1,78,13.1
900226000081711,3/19/2013,3/20/2013,1,13,1,78,13.1
900226000081713,3/19/2013,4/11/2013,23,13,1,78,13.1
900226000081714,3/19/2013,4/7/2013,19,13,1,78,13.1
900226000081715,3/19/2013,4/10/2013,22,13,1,78,13.1
900226000081716,3/19/2013,4/9/2013,21,13,1,78,13.1
900226000081717,3/19/2013,4/21/2013,33,13,1,78,13.1
900226000081720,3/19/2013,3/24/2013,5,13,1,78,13.1
900226000081721,3/19/2013,3/31/2013,12,13,1,78,13.1
900226000081722,3/19/2013,4/26/2013,38,13,1,78,13.1
900226000081724,3/19/2013,3/21/2013,2,13,1,78,13.1
900226000081725,3/19/2013,3/21/2013,2,13,1,78,13.1
900226000081726,3/19/2013,4/4/2013,16,13,1,78,13.1
900226000081727,3/19/2013,4/1/2013,13,13,1,78,13.1
900226000081728,3/19/2013,4/24/2013,36,13,1,78,13.1
900226000081729,3/19/2013,5/7/2013,49,13,1,78,13.1
900226000081730,3/19/2013,4/6/2013,18,13,1,78,13.1
900226000081731,3/19/2013,3/24/2013,5,13,1,78,13.1
900226000081732,3/19/2013,3/22/2013,3,13,1,78,13.1
900226000081734,3/19/2013,4/2/2013,14,13,1,78,13.1
900226000081735,3/19/2013,4/6/2013,18,13,1,78,13.1
900226000081736,3/19/2013,4/7/2013,19,13,1,78,13.1
900226000081737,3/19/2013,3/28/2013,9,13,1,78,13.1
900226000081738,3/19/2013,3/31/2013,12,13,1,78,13.1
900226000081739,3/19/2013,4/9/2013,21,13,1,78,13.1
900226000081740,3/19/2013,5/5/2013,47,13,1,78,13.1
900226000081741,3/19/2013,4/3/2013,15,13,1,78,13.1
900226000081742,3/19/2013,4/5/2013,17,13,1,78,13.1
900226000081743,3/19/2013,5/10/2013,52,13,1,78,13.1
900226000081745,3/19/2013,4/8/2013,20,13,1,78,13.1
900226000081746,3/19/2013,4/11/2013,23,13,1,78,13.1
900226000081747,3/19/2013,4/27/2013,39,13,1,78,13.1
900226000082248,3/26/2013,4/11/2013,16,13,2,85,13.2
900226000082249,4/2/2013,4/4/2013,2,13,3,92,13.3
900226000082250,4/2/2013,4/14/2013,12,13,3,92,13.3
900226000082252,4/2/2013,4/4/2013,2,13,3,92,13.3
900226000082253,4/2/2013,4/21/2013,19,13,3,92,13.3
900226000082254,4/2/2013,4/3/2013,1,13,3,92,13.3
900226000082255,4/2/2013,4/3/2013,1,13,3,92,13.3
900226000082257,4/2/2013,5/2/2013,30,13,3,92,13.3
900226000082258,4/2/2013,4/3/2013,1,13,3,92,13.3
900226000082261,3/26/2013,4/4/2013,9,13,2,85,13.2
900226000082262,4/2/2013,4/19/2013,17,13,3,92,13.3
900226000082263,4/2/2013,4/5/2013,3,13,3,92,13.3
900226000082264,4/2/2013,5/5/2013,33,13,3,92,13.3
900226000082265,4/2/2013,4/3/2013,1,13,3,92,13.3
900226000082266,4/2/2013,4/3/2013,1,13,3,92,13.3
900226000082267,4/2/2013,4/3/2013,1,13,3,92,13.3
900226000082268,4/2/2013,4/3/2013,1,13,3,92,13.3
900226000082269,4/2/2013,4/16/2013,14,13,3,92,13.3
900226000082271,4/2/2013,4/4/2013,2,13,3,92,13.3
900226000082272,4/2/2013,4/4/2013,2,13,3,92,13.3
900226000082273,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000082275,4/2/2013,4/2/2013,0,13,3,92,13.3
900226000082281,4/2/2013,4/4/2013,2,13,3,92,13.3
900226000082335,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000082336,4/2/2013,4/24/2013,22,13,3,92,13.3
900226000082337,4/2/2013,4/11/2013,9,13,3,92,13.3
900226000082338,4/2/2013,4/3/2013,1,13,3,92,13.3
900226000082339,3/26/2013,5/6/2013,41,13,2,85,13.2
900226000082342,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000082344,4/2/2013,5/5/2013,33,13,3,92,13.3
900226000082345,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000082347,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000082348,3/26/2013,3/31/2013,5,13,2,85,13.2
900226000082349,3/26/2013,4/3/2013,8,13,2,85,13.2
900226000082350,3/26/2013,4/27/2013,32,13,2,85,13.2
900226000082352,3/26/2013,5/6/2013,41,13,2,85,13.2
900226000082355,3/26/2013,4/28/2013,33,13,2,85,13.2
900226000082356,3/26/2013,4/8/2013,13,13,2,85,13.2
900226000082357,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000082359,3/26/2013,4/3/2013,8,13,2,85,13.2
900226000082360,3/26/2013,4/25/2013,30,13,2,85,13.2
900226000082361,3/26/2013,4/10/2013,15,13,2,85,13.2
900226000082362,3/26/2013,5/3/2013,38,13,2,85,13.2
900226000082363,3/26/2013,4/18/2013,23,13,2,85,13.2
900226000082364,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000082365,3/26/2013,4/3/2013,8,13,2,85,13.2
900226000082366,3/26/2013,4/13/2013,18,13,2,85,13.2
900226000082369,3/26/2013,4/8/2013,13,13,2,85,13.2
900226000082370,3/26/2013,3/31/2013,5,13,2,85,13.2
900226000082371,3/26/2013,5/9/2013,44,13,2,85,13.2
900226000082373,3/26/2013,4/8/2013,13,13,2,85,13.2
900226000082374,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000082375,3/26/2013,5/2/2013,37,13,2,85,13.2
900226000082376,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000082377,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000082378,3/26/2013,4/10/2013,15,13,2,85,13.2
900226000082379,3/26/2013,4/4/2013,9,13,2,85,13.2
900226000082380,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000082381,3/26/2013,5/5/2013,40,13,2,85,13.2
900226000082382,3/26/2013,5/9/2013,44,13,2,85,13.2
900226000082383,3/26/2013,4/5/2013,10,13,2,85,13.2
900226000082384,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000082385,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000082386,3/26/2013,4/19/2013,24,13,2,85,13.2
900226000082388,3/26/2013,4/11/2013,16,13,2,85,13.2
900226000082391,3/26/2013,5/18/2013,53,13,2,85,13.2
900226000082392,3/26/2013,4/7/2013,12,13,2,85,13.2
900226000082393,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000082394,3/26/2013,5/7/2014,407,13,2,85,13.2
900226000082395,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000082396,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000082398,3/26/2013,4/11/2013,16,13,2,85,13.2
900226000082399,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000082401,3/26/2013,4/27/2013,32,13,2,85,13.2
900226000082402,3/26/2013,3/29/2013,3,13,2,85,13.2
900226000082404,3/26/2013,4/14/2013,19,13,2,85,13.2
900226000082405,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000082407,3/26/2013,4/5/2013,10,13,2,85,13.2
900226000082408,3/26/2013,4/8/2013,13,13,2,85,13.2
900226000082409,3/26/2013,4/5/2013,10,13,2,85,13.2
900226000082411,3/26/2013,4/18/2013,23,13,2,85,13.2
900226000082412,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000082414,3/26/2013,4/6/2013,11,13,2,85,13.2
900226000082415,3/26/2013,4/24/2013,29,13,2,85,13.2
900226000082417,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000082418,3/26/2013,3/28/2013,2,13,2,85,13.2
900226000082419,3/26/2013,4/3/2013,8,13,2,85,13.2
900226000082420,3/26/2013,5/5/2013,40,13,2,85,13.2
900226000082421,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000082422,3/26/2013,5/2/2013,37,13,2,85,13.2
900226000082423,3/26/2013,4/12/2013,17,13,2,85,13.2
900226000082424,3/26/2013,3/29/2013,3,13,2,85,13.2
900226000082425,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000082427,3/26/2013,3/28/2013,2,13,2,85,13.2
900226000082428,3/26/2013,4/15/2013,20,13,2,85,13.2
900226000082429,3/26/2013,5/2/2013,37,13,2,85,13.2
900226000082430,3/26/2013,4/27/2013,32,13,2,85,13.2
900226000082431,3/26/2013,4/27/2013,32,13,2,85,13.2
900226000082432,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000082433,3/26/2013,4/11/2013,16,13,2,85,13.2
900226000082434,3/26/2013,4/4/2013,9,13,2,85,13.2
900226000082436,3/26/2013,3/31/2013,5,13,2,85,13.2
900226000082437,3/26/2013,4/1/2013,6,13,2,85,13.2
900226000082440,3/26/2013,4/9/2013,14,13,2,85,13.2
900226000082441,3/26/2013,4/6/2013,11,13,2,85,13.2
900226000082442,3/26/2013,4/2/2013,7,13,2,85,13.2
900226000082443,3/26/2013,4/23/2013,28,13,2,85,13.2
900226000082444,3/26/2013,5/2/2013,37,13,2,85,13.2
900226000082445,3/26/2013,5/7/2013,42,13,2,85,13.2
900226000082447,3/26/2013,3/31/2013,5,13,2,85,13.2
900226000082448,5/2/2013,5/10/2013,8,13,7,122,13.7
900226000082449,5/2/2013,5/8/2013,6,13,7,122,13.7
900226000082450,5/2/2013,5/4/2013,2,13,7,122,13.7
900226000082451,5/2/2013,5/8/2013,6,13,7,122,13.7
900226000082452,5/2/2013,5/5/2013,3,13,7,122,13.7
900226000082453,5/2/2013,5/4/2013,2,13,7,122,13.7
900226000082454,5/2/2013,5/7/2013,5,13,7,122,13.7
900226000082455,5/2/2013,5/18/2013,16,13,7,122,13.7
900226000082456,5/2/2013,5/6/2013,4,13,7,122,13.7
900226000082457,5/2/2013,5/3/2013,1,13,7,122,13.7
900226000082458,5/2/2013,5/9/2013,7,13,7,122,13.7
900226000082460,5/2/2013,5/5/2013,3,13,7,122,13.7
900226000082461,5/2/2013,5/6/2013,4,13,7,122,13.7
900226000082462,5/2/2013,5/4/2013,2,13,7,122,13.7
900226000082465,5/2/2013,5/16/2013,14,13,7,122,13.7
900226000082466,5/2/2013,5/7/2013,5,13,7,122,13.7
900226000082469,5/2/2013,5/7/2013,5,13,7,122,13.7
900226000082471,5/2/2013,5/4/2013,2,13,7,122,13.7
900226000082473,5/2/2013,5/4/2013,2,13,7,122,13.7
900226000082474,5/2/2013,5/4/2013,2,13,7,122,13.7
900226000082475,5/2/2013,5/16/2013,14,13,7,122,13.7
900226000082476,5/2/2013,5/9/2013,7,13,7,122,13.7
900226000082477,5/2/2013,5/9/2013,7,13,7,122,13.7
900226000082478,5/2/2013,5/16/2013,14,13,7,122,13.7
900226000082479,5/2/2013,5/23/2013,21,13,7,122,13.7
900226000082481,5/2/2013,5/5/2013,3,13,7,122,13.7
900226000082483,5/2/2013,5/5/2013,3,13,7,122,13.7
900226000082484,5/2/2013,5/9/2013,7,13,7,122,13.7
900226000082485,5/2/2013,5/8/2013,6,13,7,122,13.7
900226000082486,5/2/2013,5/7/2013,5,13,7,122,13.7
900226000082487,5/2/2013,6/7/2013,36,13,7,122,13.7
900226000082488,5/2/2013,5/7/2013,5,13,7,122,13.7
900226000082489,5/2/2013,5/8/2013,6,13,7,122,13.7
900226000082490,5/2/2013,5/3/2013,1,13,7,122,13.7
900226000082491,5/2/2013,5/8/2013,6,13,7,122,13.7
900226000082492,5/2/2013,5/5/2013,3,13,7,122,13.7
900226000082493,5/2/2013,5/5/2013,3,13,7,122,13.7
900226000082494,5/2/2013,5/4/2013,2,13,7,122,13.7
900226000082495,5/2/2013,4/2/2014,335,13,7,122,13.7
900226000082496,5/2/2013,5/10/2013,8,13,7,122,13.7
900226000082497,5/2/2013,5/8/2013,6,13,7,122,13.7
900226000082498,5/2/2013,5/8/2013,6,13,7,122,13.7
900226000082499,5/2/2013,5/5/2013,3,13,7,122,13.7
900226000082500,5/2/2013,5/5/2013,3,13,7,122,13.7
900226000082501,5/2/2013,5/4/2013,2,13,7,122,13.7
900226000082502,5/2/2013,5/7/2013,5,13,7,122,13.7
900226000082503,5/2/2013,5/5/2013,3,13,7,122,13.7
